indice_tiempo,usuarios_unicos_con_visualizaciones
2015-11-01,79539
2015-12-01,101507
2016-01-01,50399
2016-02-01,30601
2016-03-01,27022
2016-04-01,23133
2016-05-01,19843
2016-06-01,17544
2016-07-01,33104
2016-08-01,27774
2016-09-01,27035
2016-10-01,38912
2016-11-01,39469
2016-12-01,32905
2017-01-01,36069
2017-02-01,38708
2017-03-01,34202
2017-04-01,43169
2017-05-01,37474
2017-06-01,35166
2017-07-01,44046
2017-08-01,48582
2017-09-01,46747
2017-10-01,50928
2017-11-01,41768
2017-12-01,36850
2018-01-01,35664
2018-02-01,31965
2018-03-01,32532
2018-04-01,34090
2018-05-01,37476
2018-06-01,35752
2018-07-01,38282
2018-08-01,40992
2018-09-01,44033
2018-10-01,33979
2018-11-01,38583
2018-12-01,34078
2019-01-01,31312
2019-02-01,32764
2019-03-01,35720
2019-04-01,46601
2019-05-01,34592
2019-06-01,29293
2019-07-01,39627
2019-08-01,40210
2019-09-01,38162
2019-10-01,38268
2019-11-01,32569
2019-12-01,27976
2020-01-01,28364
2020-02-01,29454
2020-03-01,77876
2020-04-01,108628
2020-05-01,106826
2020-06-01,88812
2020-07-01,120776
2020-08-01,89640
2020-09-01,74474
2020-10-01,70237
2020-11-01,58406
2020-12-01,48674
2021-01-01,47913
2021-02-01,49161
2021-03-01,45974
2021-04-01,53133
2021-05-01,55975
2021-06-01,59852
2021-07-01,49883
2021-08-01,50900
2021-09-01,53190
2021-10-01,48734
2021-11-01,45886
2021-12-01,38698
2022-01-01,48699
2022-02-01,38537
2022-03-01,40148
2022-04-01,42408
2022-05-01,43579
2022-06-01,41323
