indice_tiempo,visualizaciones_totales
2015-11-01,175312
2015-12-01,388344
2016-01-01,196010
2016-02-01,118493
2016-03-01,88194
2016-04-01,72206
2016-05-01,60668
2016-06-01,51699
2016-07-01,117433
2016-08-01,103321
2016-09-01,118120
2016-10-01,155491
2016-11-01,174669
2016-12-01,152096
2017-01-01,175311
2017-02-01,172377
2017-03-01,167534
2017-04-01,175977
2017-05-01,158162
2017-06-01,137514
2017-07-01,167792
2017-08-01,194247
2017-09-01,199498
2017-10-01,205944
2017-11-01,177237
2017-12-01,156213
2018-01-01,163128
2018-02-01,140141
2018-03-01,125901
2018-04-01,137553
2018-05-01,142796
2018-06-01,129584
2018-07-01,136027
2018-08-01,139089
2018-09-01,145674
2018-10-01,119673
2018-11-01,122552
2018-12-01,117240
2019-01-01,112788
2019-02-01,107388
2019-03-01,119932
2019-04-01,161626
2019-05-01,119413
2019-06-01,87651
2019-07-01,120557
2019-08-01,118908
2019-09-01,113330
2019-10-01,115022
2019-11-01,93678
2019-12-01,85437
2020-01-01,93437
2020-02-01,90592
2020-03-01,232381
2020-04-01,334919
2020-05-01,319126
2020-06-01,265242
2020-07-01,295282
2020-08-01,278405
2020-09-01,229614
2020-10-01,206667
2020-11-01,180569
2020-12-01,160530
2021-01-01,156364
2021-02-01,149108
2021-03-01,139716
2021-04-01,145102
2021-05-01,163590
2021-06-01,186626
2021-07-01,156844
2021-08-01,151652
2021-09-01,153270
2021-10-01,138148
2021-11-01,131061
2021-12-01,118206
2022-01-01,146164
2022-02-01,108375
2022-03-01,114228
2022-04-01,116525
2022-05-01,119085
2022-06-01,131301
